image_id,wrist_right_x,wrist_right_y,wrist_right_z,wrist_left_x,wrist_left_y,wrist_left_z,shoulder_right_x,shoulder_right_y,shoulder_right_z,shoulder_left_x,shoulder_left_y,shoulder_left_z,elbow_right_x,elbow_right_y,elbow_right_z,elbow_left_x,elbow_left_y,elbow_left_z,nose_x,nose_y,nose_z,class
image_1446,71.75070762634277,109.46560329198837,-2.04754638671875,41.202335357666016,114.25894314050674,-2.031606435775757,46.1884081363678,56.45442232489586,-1.22780442237854,96.26431703567505,58.06269407272339,-1.4012080430984497,29.75127339363098,90.08301368355751,-1.4393137693405151,103.32080841064453,97.97829347848892,-1.5966498851776123,63.6801552772522,43.02315926551819,-2.051957845687866,backhand
image_1447,36.34439504146576,54.07797262072563,0.572395920753479,120.06405210494995,86.0302209854126,0.8487799763679504,104.28582400083542,49.75340135395527,0.1637122631072998,74.39178389310837,44.76196549832821,-0.14692789316177368,110.05552315711975,80.32549157738686,0.45606765151023865,53.27154338359833,65.93000188469887,0.11145886033773422,90.2953330874443,26.823508143424988,0.5590940713882446,stand
image_1448,40.102153182029724,31.390743255615234,0.3768663704395294,39.28530991077423,33.86613845825195,-0.7534987926483154,29.599247455596924,22.795653343200684,-0.24856194853782654,44.04283308982849,20.918221473693848,-0.2934965491294861,26.985545217990875,33.063082695007324,-0.5447356700897217,44.67834985256195,28.70763063430786,-0.13053585588932037,39.05833303928375,17.751458883285522,-0.7615154981613159,backhand
image_1449,34.51877975463867,34.475746154785156,-0.0784125104546547,18.930108547210693,26.420860290527344,-0.41974151134490967,21.089239597320557,21.457836151123047,0.2738984525203705,33.23929309844971,21.81452751159668,0.16777236759662628,16.142744064331055,29.472476959228516,-0.006355267018079758,36.46889019012451,31.28050422668457,0.007955004461109638,26.442687034606934,13.965147018432617,-0.038821447640657425,forehand
image_1450,27.590922236442566,30.28184175491333,0.12676259875297546,20.655453205108643,25.88220477104187,-1.0064527988433838,11.577101230621338,20.641234159469604,-0.27580857276916504,23.203248262405396,24.358654737472534,0.0262795127928257,9.762113273143768,28.780914187431335,-0.7738573551177979,27.023937463760376,33.70207977294922,0.1458769291639328,24.11115050315857,20.200583457946777,-0.07740891724824905,forehand
image_1451,36.530784741044044,51.65145367383957,0.641962468624115,121.28465163707733,78.92546236515045,0.829400360584259,106.29562401771545,42.42984712123871,0.15273210406303406,74.42014122009277,40.25494083762169,-0.19804777204990387,110.56996041536331,67.88552910089493,0.40257054567337036,54.8004766702652,59.58537817001343,0.116625115275383,93.56798887252808,22.331100404262543,0.47821587324142456,stand
image_1452,92.87105560302734,126.52115780115128,-1.0643562078475952,84.6663761138916,112.69815373420715,-0.37164464592933655,69.64524269104004,53.217939257621765,-0.26621273159980774,104.81941223144531,59.243715316057205,-0.7972981333732605,79.06263828277588,91.14885437488556,-0.14985887706279755,97.05564498901367,93.25393724441528,-0.8727224469184875,68.6162281036377,33.69800215959549,-0.9193730354309082,backhand
image_1453,22.11199015378952,28.479119181632996,-2.2670555114746094,13.665741682052612,29.211276054382324,-1.9146236181259155,10.087093561887741,17.472232580184937,-1.2484755516052246,23.546466827392578,16.126825094223022,-1.2546356916427612,9.796763360500336,25.9737606048584,-1.3536443710327148,25.716981291770935,24.586522936820984,-1.5177855491638184,16.72685980796814,12.660120129585266,-2.3383967876434326,backhand
image_1454,31.026992917060852,16.713045477867126,0.404130756855011,28.653311729431152,28.601332783699036,-0.20761984586715698,22.362475037574768,18.183732748031616,-0.4295247495174408,27.85859215259552,18.46961522102356,0.10763252526521683,22.763938188552856,24.98945128917694,-0.48075157403945923,28.521594047546387,18.469973921775818,0.3178030848503113,29.628771483898163,15.920799136161804,-0.3335671126842499,forehand
image_1455,93.45952033996582,128.9964715242386,-0.7080636620521545,84.19656753540039,128.0021493434906,-0.1313433051109314,73.29972743988037,51.49959695339203,-0.0747542530298233,103.30455780029297,59.11329162120819,-0.7544655203819275,81.71444892883301,88.70523536205292,-0.003265129867941141,104.99582290649414,99.68498849868774,-0.7408010363578796,65.25424003601074,38.09294646978378,-0.6904566287994385,backhand
image_1456,40.89745777845383,38.29513084888458,-1.0235214233398438,53.12739336490631,55.44496861100197,-1.468974232673645,61.2573823928833,41.40466195344925,-0.19841404259204865,51.38045382499695,41.47613048553467,-0.10141775757074356,56.27249372005463,63.973395228385925,-0.8378653526306152,51.19514536857605,57.62206470966339,-0.6247254610061646,39.30059194564819,31.725262612104416,-0.014330798760056496,stand
image_1457,32.657063126564026,33.44457668066025,-0.10674228519201279,30.86871761083603,31.846054792404175,-0.5711333155632019,22.56280019879341,23.300706386566162,-0.3111240565776825,32.17563396692276,21.47209143638611,-0.25560033321380615,25.217011839151382,34.44193184375763,-0.41141849756240845,32.48124325275421,31.72527539730072,-0.08640176802873611,28.741621255874634,18.90161144733429,-0.5548902153968811,forehand
image_1458,22.4575012922287,37.105050355196,1.2563217878341675,28.44991832971573,20.681529700756073,1.4347363710403442,52.311600744724274,23.598411105573177,0.564123272895813,24.153272062540054,41.628071308135986,0.49723246693611145,43.77509504556656,23.70216903090477,0.8419523239135742,18.631021678447723,50.45105454325676,0.6570793390274048,25.911835581064224,28.79491353034973,1.5666611194610596,stand
image_1460,22.197399616241455,16.754929840564728,-0.02602355182170868,13.120383739471436,38.86081838607788,-0.7837661504745483,12.291506052017212,23.270200073719025,-0.6718392372131348,20.23060655593872,19.447334468364716,-0.45620834827423096,10.365338802337646,33.81150197982788,-0.748532235622406,22.891533851623535,21.147232711315155,-0.2569194436073303,23.937790632247925,22.147919297218323,-0.6550227999687195,serve
image_1461,25.406937897205353,26.279399394989014,-0.12303581088781357,17.128066420555115,51.27476692199707,-0.4394233226776123,22.978353202342987,39.73834276199341,-0.2269534468650818,21.69004797935486,37.013771533966064,0.0949605330824852,20.251245349645615,48.12094688415527,-0.39764875173568726,21.416736245155334,32.380080223083496,0.035799525678157806,25.045437812805176,33.95610809326172,0.019924648106098175,serve
image_1462,21.813430935144424,29.517208695411682,0.0789395272731781,17.456210553646088,33.421411991119385,-0.06420718133449554,11.17054559290409,26.301992416381836,-0.12653875350952148,24.888077974319458,25.962146937847137,0.03830788657069206,11.256960332393646,35.675276041030884,-0.16621945798397064,31.166193187236786,35.38328504562378,0.02183779701590538,23.6726376414299,22.01719343662262,-0.3083127439022064,backhand
